id,Ruolo,Calciatore,Squadra,Costo,Costo Iniziale,Diff
239,A,TEVEZ,JUVENTUS,"40,3","35,1",5
318,A,HIGUAIN,NAPOLI,"35,5","34,2",1
209,A,ICARDI,INTER,"33,1",25,8
349,A,DYBALA,PALERMO,"31,7",15,16
538,A,TONI,VERONA,"31,3","26,4",5
510,A,DI NATALE,UDINESE,"31,2",29,2
480,A,QUAGLIARELLA,TORINO,"29,8","20,5",9
426,A,GABBIADINI,NAPOLI,"27,8","19,9",8
292,C,MENEZ,MILAN,"27,4","16,6",11
424,A,EDER,SAMPDORIA,"27,3",20,7
449,A,BERARDI,SASSUOLO,"26,8","26,5",0
234,C,POGBA,JUVENTUS,"26,7","18,6",8
266,A,KLOSE,LAZIO,"26,2","20,4",6
887,A,ETO'O,SAMPDORIA,"24,5","23,2",1
211,P,BUFFON,JUVENTUS,"24,2","16,3",8
122,A,MACCARONE,EMPOLI,"23,8","14,3",9
403,A,TOTTI,ROMA,"23,8","23,5",0
255,C,CANDREVA,LAZIO,"23,6","19,6",4
309,A,CALLEJON,NAPOLI,"23,4","25,2",-2
238,A,MORATA,JUVENTUS,23,20,3
237,A,LLORENTE,JUVENTUS,"22,7","27,9",-5
398,A,DESTRO,MILAN,"22,6","24,1",-2
347,C,VAZQUEZ,PALERMO,"22,4","10,6",12
401,A,LJAJIC,ROMA,"22,3","16,3",6
210,A,PALACIO,INTER,"22,2","27,7",-5
158,P,PERIN,GENOA,"21,4","12,5",9
376,P,DE SANCTIS,ROMA,"21,4","15,1",6
261,C,MAURI,LAZIO,"21,3","12,2",9
348,A,BELOTTI,PALERMO,"20,8","16,4",4
454,A,ZAZA,SASSUOLO,"20,8","17,7",3
513,A,THEREAU,UDINESE,"20,7","16,8",4
871,C,SHAQIRI,INTER,"20,5","20,2",0
477,A,CERCI,MILAN,"20,5","23,4",-3
257,C,FELIPE ANDERSON,LAZIO,"20,5","6,6",14
183,P,HANDANOVIC,INTER,"20,1","15,9",5
235,C,VIDAL,JUVENTUS,20,"20,6",0
313,C,HAMSIK,NAPOLI,20,"20,1",0
17,C,BONAVENTURA,MILAN,"19,8","15,5",4
427,A,OKAKA,SAMPDORIA,"19,6","16,3",3
198,C,GUARIN,INTER,"19,4","12,4",7
228,C,MARCHISIO,JUVENTUS,"19,2","16,7",3
