"ATALANTA Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
3,P,SPORTIELLO,"7,03",0,0,0,0,0,0,0,0,0,0,0,0
4,D,BELLINI,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
5,D,BENALOUANE,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
9,D,CHERUBIN,6,0,0,0,0,0,0,0,0,0,0,0,0
11,D,DRAME',"5,01",0,0,0,0,0,0,0,0,0,0,0,0
385,D,EMANUELSON,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
868,D,"MASIELLO A","6,02",0,0,0,0,0,0,0,0,0,0,0,0
19,C,CARMONA,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
20,C,CIGARINI,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
21,C,D'ALESSANDRO,"5,51",0,0,0,0,0,0,1,0,0,0,0,0
22,C,MIGLIACCIO,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
25,A,BOAKYE,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
26,A,DENIS,6*,0,0,0,0,0,0,0,0,0,0,0,0
49,A,PINILLA,"5,01",0,0,0,0,0,0,1,0,0,0,0,0
911,ALL,REJA,"5,52",0,0,0,0,0,0,0,1,0,0,0,0
"CAGLIARI Voti gentilmente offerti da www.fantagazzetta.com",,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,"Gol Fatto","Gol Subito","Rigore Parato","Rigore Sbagliato","Rigore Segnato",Autorete,Ammonizione,Espulsione,Assist,"Assist Fermo",Gdv,Gdp
482,P,BRKIC,"6,53",0,2,0,0,0,0,0,0,0,0,0,0
30,D,AVELAR,"6,52",0,0,0,0,0,0,0,1,0,0,0,0
36,D,ROSSETTINI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
355,D,CEPPITELLI,6*,0,0,0,0,0,0,0,0,0,0,0,0
519,D,"GONZALEZ ALE.","6,01",0,0,0,0,0,0,0,0,0,0,0,0
708,D,CAPUANO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
40,C,COSSU,"6,52",0,0,0,0,0,0,1,0,0,0,0,0
41,C,CRISETIG,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
42,C,DESSENA,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
875,C,HUSBAUER,6*,0,0,0,0,0,0,0,0,0,0,0,0
895,C,M'POKU,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
48,A,LONGO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
50,A,SAU,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
99,A,FARIAS,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
